"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
VID,,0,0,0%
201003,W-8292-U,0,699,0%
201011,W-8058-UN,0,676,0%
201016,L-9451-UB,0,686,0%
201022,L-9452-UB,0,680,0%
201025,B-9291-CXR,96,688,13.95%
201031,W-8365-U,0,676,0%
201034,L-9386-UD,0,713,0%
201035,W-8042-UN,0,677,0%
201036,L-9302-UF,0,682,0%
201037,B-9295-CXR,0,0,0%
201038,L-9388-UD,0,676,0%
201044,W-9499-U,0,675,0%
201046,W-9501-U,0,679,0%
201048,W-8439-UQ,0,677,0%
201058,L-9056-UB,0,747,0%
201059,B-9381-CU,0,681,0%
201063,W-8879-U,0,0,0%
201064,L-9760-UD,0,679,0%
201067,L-9872-UA,0,0,0%
201071,W-9265-U,0,686,0%
201072,W-9329-U,0,685,0%
201074,W-8446-UN,0,697,0%
201075,W-9705-U,0,683,0%
201077,W-9215-UP,0,680,0%
201078,W-9212-UP,0,685,0%
201079,W-9704-U,0,675,0%
201080,W-8443-UN,0,679,0%
201081,W-9213-UP,0,690,0%
201082,W-9210-UP,0,685,0%
201083,W-9214-UP,0,679,0%
201084,W-9970-UP,1,708,0.14%
201085,W-9974-UP,0,678,0%
201086,W-9971-UP,0,737,0%
201087,W-9601-UP,0,698,0%
201088,W-8440-UQ,0,681,0%
201089,W-9604-UP,0,748,0%
201090,W-9599-UP,0,135,0%
201092,W-9602-UP,0,685,0%
201093,W-8359-UQ,0,685,0%
201094,W-8628-UQ,0,677,0%
201095,W-8437-UQ,0,705,0%
201096,W-8360-UQ,0,699,0%
201097,W-8489-UQ,0,691,0%
201100,W-9069-UQ,0,707,0%
201102,W-8486-UQ,0,0,0%
201103,W-8067-UN,0,678,0%
201104,W-8939-UQ,0,679,0%
201105,W-8362-UQ,0,663,0%
201109,W-9074-UQ,0,666,0%
201110,W-9077-UQ,0,679,0%
201111,W-9071-UQ,0,683,0%
201112,W-9122-UQ,0,716,0%
201113,W-9068-UQ,0,737,0%
201114,W-9070-UQ,0,677,0%
201115,W-9075-UQ,0,684,0%
201116,W-9073-UQ,0,660,0%
201118,W-9581-US,0,0,0%
201121,B-9480-CXR,0,0,0%
201124,B-9469-CXR,0,706,0%
201125,B-9308-CXR,0,0,0%
201126,B-9309-CXR,0,687,0%
201127,B-9305-CXR,0,0,0%
201128,B-9224-CXR,0,693,0%
201129,B-9225-CXR,0,712,0%
201130,B-9306-CXR,0,715,0%
201131,W-9230-UQ,0,733,0%
201132,W-9124-UQ,39,677,5.76%
201136,W-9226-UQ,0,631,0%
201137,W-9232-UQ,0,692,0%
201138,W-9422-UQ,0,0,0%
201139,W-9426-UQ,0,678,0%
201140,W-9067-UQ,0,678,0%
201143,B-9468-CXR,0,677,0%
201144,W-9223-UQ,0,676,0%
201145,W-9421-UQ,0,679,0%
201149,B-9467-CXR,0,682,0%
201152,B-9409-CXR,0,679,0%
201153,B-9022-CEU,0,0,0%
201154,B-9481-CXR,0,702,0%
201155,W-9255-UQ,0,0,0%
201156,W-9424-UQ,148,688,21.51%
201157,B-9478-CXR,0,0,0%
201159,W-9425-UQ,0,677,0%
201160,W-9527-US,0,692,0%
201161,W-9525-US,0,681,0%
201162,W-9524-US,0,676,0%
201164,B-9408-CXR,0,0,0%
201165,B-9530-CXR,0,684,0%
201166,B-9532-CXR,0,679,0%
201167,B-9528-CXR,0,684,0%
201168,B-9529-CXR,0,698,0%
201169,W-9526-US,0,686,0%
201171,B-9527-CXR,0,694,0%
201172,B-9531-CXR,0,678,0%
201174,W-8574-UT,0,676,0%
201175,W-9578-US,0,677,0%
201176,W-8571-UT,17,678,2.51%
201177,W-9577-US,0,677,0%
201178,B-9040-CEU,0,677,0%
201179,B-9041-CEU,0,678,0%
201180,B-9042-CEU,0,681,0%
201181,B-9037-CEU,46,724,6.35%
201182,B-9031-CEU,0,680,0%
201183,B-9609-CXR,0,0,0%
201184,"B-9032-CEU ",0,684,0%
201185,B-9051-CEU,0,705,0%
201186,W-9836-US,0,0,0%
201188,B-9655-CXR,0,685,0%
201190,W-9838-US,0,677,0%
201191,B-9658-CXR,0,698,0%
201192,B-9036-CEU,0,676,0%
201193,B-9039-CEU,0,0,0%
201194,B-9659-CXR,0,675,0%
201195,W-9875-US,0,691,0%
201196,W-9876-US,0,678,0%
201197,B-9038-CEU,0,676,0%
201198,B-9661-CXR,0,682,0%
201199,B-9656-CXR,0,718,0%
201200,L-8105-UE,0,676,0%
201201,W-9834-US,0,675,0%
201202,B-9660-CXR,0,684,0%
201204,B-9677-CXR,0,691,0%
201205,B-9298-CXR,0,717,0%
201206,B-9675-CXR,0,683,0%
201207,B-9676-CXR,0,690,0%
201208,W-8945-UQ,0,0,0%
201209,L-9811-UA,0,679,0%
201210,W-8573-UT,0,0,0%
201212,W-9942-US,0,689,0%
201214,W-9984-US,202,687,29.4%
201215,W-9877-US,0,679,0%
201216,W-9579-US,0,680,0%
201218,L-9303-UF,0,676,0%
201219,B-9522-CXR,0,673,0%
201220,W-8940-UQ,0,0,0%
201221,B-9304-CXR,0,0,0%
201222,W-8057-UN,0,133,0%
201223,W-8681-U,0,678,0%
201224,L-9401-UB,0,686,0%
201225,B-9380-CU,0,690,0%
201226,L-9897-UA,0,677,0%
201228,W-9236-UQ,0,0,0%
201229,B-9077-CEU,0,686,0%
201230,L-9055-UB,0,684,0%
201231,W-8070-UN,1,680,0.15%
201232,B-9074-CEU,0,0,0%
201233,W-9580-US,0,0,0%
201234,B-9150-CEU,0,684,0%
201235,B-9378-CU,0,678,0%
201236,B-9072-CEU,0,0,0%
201237,B-9075-CEU,0,720,0%
201238,W-8066-UN,0,682,0%
201239,W-8823-UT,0,0,0%
201240,W-8572-UT,0,0,0%
201241,B-9318-CXR,0,81,0%
201242,W-9038-U,0,685,0%
201243,W-8754-UT,0,680,0%
201244,B-9307-CXR,0,738,0%
201245,B-9073-CEU,0,692,0%
201246,W-8575-UT,0,680,0%
201247,B-9070-CEH,0,676,0%
201248,B-9071-CEH,0,681,0%
201249,W-8756-UT,0,678,0%
201251,B-9068-CEH,0,678,0%
201252,B-9072-CEH,0,0,0%
201253,W-8753-UT,0,0,0%
201254,L-9053-UB,0,692,0%
201256,B-9796-CXS,0,679,0%
201258,W-8438-UQ,0,678,0%
201260,L-9467-UB,0,678,0%
201261,L-9761-UD,1,670,0.15%
201263,L-9299-UF,3,722,0.42%
201264,W-9039-U,0,685,0%
201265,B-9137-CEU,0,692,0%
201266,B-9139-CEU,0,685,0%
201267,B-9795-CXS,0,687,0%
201268,W-8358-UQ,0,673,0%
201269,W-9211-UP,0,674,0%
201270,W-9498-U,0,681,0%
201271,B-9446-CXR,0,678,0%
201272,W-9983-US,0,747,0%
202001,B-9403-CXR,0,697,0%
202002,B-9404-CXR,0,691,0%
202003,B-9205-CXR,0,657,0%
202004,B-9204-CXR,0,696,0%
202005,B-9950-CXS,0,683,0%
202006,B-9209-CXR,0,688,0%
202007,B-9206-CXR,0,679,0%
202009,W-9235-UQ,0,675,0%
202010,B-9230-CXR,0,680,0%
202011,B-9238-CXR,0,702,0%
202012,W-9231-UQ,0,679,0%
202013,W-9228-UQ,0,679,0%
202014,W-9224-UQ,0,0,0%
202015,B-9254-CXR,0,711,0%
202016,B-9236-CXR,8,681,1.17%
202017,B-9237-CXR,0,678,0%
202018,B-9242-CXR,0,680,0%
202019,B-9240-CXR,0,695,0%
202020,B-9622-CXR,0,688,0%
202021,B-9322-CXR,0,685,0%
202022,B-9328-CXR,0,365,0%
202023,B-9452-CXR,0,687,0%
202024,B-9399-CXR,0,693,0%
202025,B-9326-CXR,0,135,0%
202026,B-9324-CXR,0,695,0%
202027,B-9181-CXR,0,677,0%
202028,B-9009-CXS,1,690,0.14%
202029,B-9208-CXR,0,684,0%
202030,B-9937-CXS,0,690,0%
202032,B-9327-CXR,0,686,0%
202033,W-9076-UQ,20,694,2.88%
202035,B-9401-CXR,0,526,0%
202036,B-9418-CXR,0,689,0%
202037,B-9244-CXR,0,672,0%
202038,B-9376-CXR,0,695,0%
202039,B-9402-CXR,0,709,0%
202040,B-9329-CXR,0,681,0%
202041,B-9396-CXR,74,675,10.96%
202042,B-9397-CXR,0,587,0%
202043,B-9398-CXR,0,686,0%
202044,B-9267-CXR,0,684,0%
202045,B-9400-CXR,1,690,0.14%
202046,B-9241-CXR,0,686,0%
202047,B-9487-CXR,0,694,0%
202048,B-9512-CXR,0,671,0%
202049,B-9203-CXR,0,688,0%
202050,B-9215-CXR,0,693,0%
202051,B-9271-CXR,0,688,0%
202052,B-9598-CXR,0,662,0%
202053,B-9510-CXR,0,682,0%
202054,B-9505-CXR,0,682,0%
202055,B-9213-CXR,0,695,0%
202056,B-9021-CXS,0,677,0%
202057,B-9430-CXR,0,695,0%
202059,B-9807-CXR,0,693,0%
202060,B-9323-CXR,0,693,0%
202061,B-9173-CXR,0,682,0%
202062,B-9269-CXR,0,700,0%
202063,B-9394-CXR,0,693,0%
202064,B-9260-CXR,0,689,0%
202065,B-9325-CXR,1,713,0.14%
202066,B-9211-CXS,0,689,0%
202067,B-9233-CXR,17,682,2.49%
202068,B-9509-CXR,0,691,0%
202069,B-9935-CXS,0,733,0%
202070,B-9211-CXR,0,698,0%
202071,B-9474-CXR,0,634,0%
202072,B-9476-CXR,0,684,0%
202073,B-9186-CXS,1,696,0.14%
202074,B-9336-CXR,0,705,0%
202077,B-9261-CXR,0,585,0%
202078,B-9419-CXR,0,681,0%
202079,B-9249-CXR,0,674,0%
202080,B-9415-CXR,0,679,0%
202083,B-9266-CXR,21,554,3.79%
202084,B-9247-CXR,0,682,0%
202085,B-9472-CXR,0,692,0%
202086,B-9475-CXR,0,703,0%
202087,B-9395-CXR,0,719,0%
202088,B-9289-CXR,14,696,2.01%
202090,B-9268-CXR,0,698,0%
202091,B-9473-CXR,0,683,0%
202092,B-9460-CXR,0,684,0%
202093,B-9461-CXR,0,681,0%
202094,B-9483-CXR,0,678,0%
202095,B-9459-CXR,0,683,0%
202096,B-9503-CXR,0,586,0%
202097,B-9502-CXR,0,688,0%
202098,B-9511-CXR,0,715,0%
202099,B-9484-CXR,0,717,0%
202100,B-9301-CXR,2,694,0.29%
202101,B-9508-CXR,0,683,0%
202102,B-9558-CXR,0,675,0%
202103,B-9933-CXS,0,683,0%
202104,B-9559-CXR,0,676,0%
202105,B-9504-CXR,1,692,0.14%
202106,B-9507-CXR,0,695,0%
202108,B-9506-CXR,61,682,8.94%
202109,B-9596-CXR,77,687,11.21%
202110,B-9582-CXR,0,689,0%
202112,B-9948-CXS,0,680,0%
202113,B-9586-CXR,0,694,0%
202115,B-9513-CXR,116,692,16.76%
202120,B-9176-CXR,0,677,0%
202121,B-9185-CXR,0,689,0%
202123,B-9645-CXR,0,0,0%
202124,B-9631-CXR,0,692,0%
202125,B-9630-CXR,8,699,1.14%
202126,B-9641-CXR,76,706,10.76%
202127,B-9639-CXR,61,685,8.91%
202128,B-9640-CXR,0,677,0%
202129,B-9629-CXR,0,685,0%
202130,B-9632-CXR,76,698,10.89%
202131,B-9636-CXR,90,632,14.24%
202132,B-9635-CXR,104,688,15.12%
202133,B-9608-CXR,94,679,13.84%
202134,B-9638-CXR,0,0,0%
202136,B-9646-CXR,0,688,0%
202137,B-9671-CXR,0,705,0%
202138,B-9670-CXR,0,691,0%
202139,B-9633-CXR,57,694,8.21%
202140,B-9621-CXR,0,680,0%
202141,B-9728-CXR,21,696,3.02%
202142,B-9726-CXR,57,688,8.28%
202143,B-9696-CXR,0,695,0%
202144,B-9642-CXR,0,679,0%
202145,B-9712-CXR,0,684,0%
202146,B-9692-CXR,0,695,0%
202147,B-9721-CXR,2,687,0.29%
202149,B-9727-CXR,0,695,0%
202150,B-9731-CXR,0,680,0%
202151,B-9730-CXR,43,695,6.19%
202152,B-9700-CXR,43,680,6.32%
202155,B-9738-CXR,0,682,0%
202156,B-9012-CXS,0,677,0%
202157,B-9757-CXR,0,687,0%
202160,B-9739-CXR,94,690,13.62%
202161,B-9699-CXR,32,705,4.54%
202165,B-9180-CXR,25,703,3.56%
202166,B-9715-CXR,0,678,0%
202168,B-9613-CXR,0,682,0%
202169,B-9634-CXR,0,698,0%
202170,B-9694-CXR,48,693,6.93%
202172,B-9719-CXR,168,704,23.86%
202173,B-9718-CXR,50,671,7.45%
202174,B-9589-CXR,0,690,0%
202175,B-9697-CXR,32,687,4.66%
202178,B-9228-CXR,76,696,10.92%
202179,B-9693-CXR,0,695,0%
202180,B-9716-CXR,0,698,0%
202181,B-9603-CXR,0,694,0%
202182,B-9673-CXR,37,679,5.45%
202183,B-9172-CXR,56,695,8.06%
202184,B-9717-CXR,0,681,0%
202185,B-9749-CXR,0,0,0%
202187,B-9637-CXR,12,685,1.75%
202188,B-9762-CXR,98,707,13.86%
202189,B-9720-CXR,103,680,15.15%
202190,B-9778-CXR,0,676,0%
202193,B-9586-CXS,0,680,0%
202195,B-9330-CXR,1,39,2.56%
202196,B-9643-CXR,0,681,0%
202197,B-9713-CXR,2,701,0.29%
202198,B-9779-CXR,7,683,1.02%
202199,B-9773-CXR,2,721,0.28%
202200,B-9598-UCE,0,678,0%
202201,B-9695-CXR,0,692,0%
202203,B-9668-CXR,0,683,0%
202204,B-9766-CXR,40,694,5.76%
202205,B-9805-CXR,0,1238,0%
202206,B-9165-UCH,0,691,0%
202207,B-9455-CXR,0,684,0%
202208,B-9761-CXR,0,679,0%
202209,B-9616-CXR,27,688,3.92%
202210,B-9802-CXR,0,690,0%
202211,B-9830-CXR,0,0,0%
202212,B-9828-CXR,20,414,4.83%
202213,B-9177-CXR,0,688,0%
202214,B-9808-CXR,0,886,0%
202215,B-9456-CXR,0,681,0%
202217,B-9663-CXR,0,0,0%
202218,B-9664-CXR,0,688,0%
202220,B-9803-CXR,0,0,0%
202221,B-9417-CXR,109,705,15.46%
202222,B-9804-CXR,0,689,0%
202223,B-9752-CXR,0,678,0%
202224,B-9750-CXR,52,694,7.49%
202225,B-9672-CXR,0,682,0%
202226,B-9801-CXR,42,684,6.14%
202227,B-9809-CXR,0,0,0%
202228,B-9350-CXR,0,678,0%
202229,B-9806-CXR,104,679,15.32%
202231,B-9873-CXR,0,691,0%
202233,B-9741-CXR,0,690,0%
202234,B-9722-CXR,0,675,0%
202235,B-9729-CXR,38,689,5.52%
